hair_length,forehead_width_cm,forehead_height_cm,nose_wide,nose_long,lips_thin,distance_nose_to_lip_long,Gender
17CM,12.1,6.1,0,0,0,1,Female
1CM,12.7,6.4,1,1,0,1,Male
32CM,12.9,5.3,1,0,0,0,Female
23CM,11.7,6.3,0,1,0,0,Female
7CM,11.7,5.6,0,1,1,1,Male
42CM,13.5,5.6,0,0,0,0,Female
8CM,13.5,5.1,1,1,1,0,Male
43CM,13,5.8,0,0,0,1,Female
23CM,12.5,6.2,0,0,0,0,Female
6CM,11.7,5.9,1,0,0,0,Female
45CM,14,6.2,0,0,0,0,Female
4CM,13.1,7,1,1,1,1,Male
8CM,13.5,6.8,1,0,1,1,Male
12CM,12.3,5.6,0,0,1,0,Female
9CM,12.7,5.1,0,1,0,0,Female
1CM,12.1,5.7,1,0,1,1,Male
26CM,13.1,5.8,0,0,0,0,Female
22CM,13.9,5.3,0,0,0,0,Female
12CM,14.8,6.9,1,1,1,1,Male
2CM,15.4,6.9,0,1,1,1,Male
28CM,12.3,6.5,0,1,1,0,Female
4CM,14.4,6.9,1,1,1,1,Male
8CM,13.4,5.4,1,1,1,1,Male
0CM,12.9,6.5,1,1,1,0,Male
5CM,13.4,5.4,1,1,1,1,Male
46CM,11.9,6.1,0,0,0,0,Female
41CM,13.9,6.2,0,0,0,0,Female
6CM,12.2,5.7,1,0,1,1,Male
34CM,12.4,5.3,0,0,1,1,Female
37CM,13.5,5.9,0,0,0,0,Female
5CM,12.5,6,1,1,1,1,Male
6CM,15.1,5.8,1,1,1,1,Male
31CM,13.5,5.8,0,0,0,0,Female
13CM,14.1,5.7,0,0,0,1,Female
3CM,14.2,6.3,1,1,0,1,Male
3CM,12,6.6,0,1,1,1,Male
24CM,12.7,5.7,0,1,0,0,Female
4CM,15.1,6.5,1,0,0,1,Male
11CM,12.2,5.2,1,1,1,1,Male
1CM,13.3,6.6,1,1,1,1,Male
7CM,12.7,6.7,0,1,1,1,Male
6CM,13.7,5.5,1,1,1,1,Male
2CM,12.6,6.9,0,1,1,1,Male
5CM,14.1,5.6,0,0,0,0,Female
9CM,13,5.6,1,0,0,1,Female
7CM,13.6,6.8,1,1,0,0,Male
40CM,14.2,6.3,0,0,0,0,Female
2CM,15.1,6.2,1,1,1,0,Male
16CM,12.7,6.1,0,0,0,0,Female
12CM,13.4,5.6,1,1,1,1,Male
37CM,14.3,6.1,1,0,0,0,Female
2CM,13.5,5.7,0,1,1,1,Male
19CM,15.5,6.5,1,1,1,1,Male
49CM,11.7,5.4,0,0,0,0,Female
12CM,14.3,5.5,0,1,0,0,Female
39CM,12.7,6.2,0,0,0,0,Female
8CM,13.3,7.1,1,1,0,1,Male
9CM,12.6,6,1,1,1,1,Male
42CM,12.2,5.6,0,0,1,0,Female
6CM,15.4,7.1,1,1,0,1,Male
47CM,12.5,5.9,0,0,0,0,Female
1CM,13.5,5.5,1,0,1,1,Male
34CM,12.5,5.2,0,0,0,0,Female
46CM,13.1,6.3,0,0,0,0,Female
6CM,14.6,6.9,1,1,1,1,Male
9CM,12,6.5,1,1,1,1,Male
12CM,14.1,5.4,1,1,1,1,Male
37CM,13.2,6.5,0,0,0,0,Female
11CM,11.5,5.2,0,1,1,1,Male
43CM,13.9,5.9,0,0,0,1,Female
0CM,15.5,5.8,0,0,1,1,Male
49CM,12.1,6.5,0,1,0,1,Female
19CM,14.2,6,0,0,0,0,Female
14CM,11.7,5.6,1,0,0,0,Female
22CM,12.6,6.2,0,0,0,0,Female
12CM,12.1,5.5,0,0,1,0,Female
39CM,13,5.5,0,0,0,1,Female
6CM,12.8,6.6,0,1,1,1,Male
2CM,13.4,5.8,1,1,0,1,Male
15CM,12.8,5.4,0,0,0,0,Female
6CM,13,5.9,1,1,1,1,Male
12CM,12.3,7.1,1,1,1,0,Male
12CM,13.3,6.3,1,1,1,1,Male
12CM,12,5.4,0,0,0,0,Female
26CM,12.3,5.8,0,0,0,0,Female
39CM,11.9,6.4,0,0,1,0,Female
14CM,12.6,5.7,1,0,0,0,Female
12CM,11.6,7.1,1,1,1,1,Male
46CM,12.8,5.3,0,0,0,0,Female
9CM,15.4,6.6,1,1,1,1,Male
38CM,12.6,6.1,0,0,0,0,Female
19CM,14.1,5.6,0,0,1,0,Female
3CM,15.5,5.3,1,1,1,1,Male
5CM,14.2,5.1,1,1,1,1,Male
5CM,12.9,5.3,0,0,1,0,Female
24CM,14.1,5.6,1,0,0,0,Female
11CM,12.4,6.7,1,1,1,1,Male
10CM,13.8,5.6,1,1,1,0,Male
10CM,11.5,6,0,0,0,0,Female
0CM,15.1,6.6,1,1,1,0,Male
5CM,14.2,5.1,1,1,1,1,Male
38CM,11.8,6.2,0,0,0,0,Female
29CM,12.2,5.9,0,1,0,0,Female
12CM,13.2,5.4,1,1,1,1,Male
11CM,12,6.9,1,1,1,1,Male
7CM,13.8,6.2,0,0,0,0,Female
2CM,12.4,5.8,1,1,1,1,Male
10CM,15.2,6,1,1,1,0,Male
18CM,12.8,6.1,1,1,1,1,Male
5CM,14.5,6,1,1,1,1,Male
38CM,14.2,5.5,0,0,0,0,Female
6CM,12.2,5.2,0,1,1,1,Male
40CM,14.2,5.9,0,0,0,0,Female
3CM,14,6.4,1,1,1,1,Male
41CM,13,6.1,1,1,1,0,Female
0CM,14.2,5.1,1,1,1,1,Male
5CM,12.3,7,0,1,0,1,Male
3CM,13.6,5.9,1,1,0,1,Male
7CM,11.7,5.7,0,0,0,1,Female
7CM,14.3,5.2,0,0,1,0,Female
5CM,14.2,5.2,1,0,1,1,Male
18CM,14.1,6.5,0,0,0,0,Female
5CM,14.4,5.5,1,1,1,1,Male
5CM,14.5,6.3,1,1,1,1,Male
1CM,12.8,6.5,1,1,1,1,Male
26CM,13.6,6.5,0,0,0,0,Female
45CM,12.9,5.9,0,0,0,0,Female
10CM,11.8,5.3,0,0,0,0,Female
4CM,14.3,6.4,1,1,1,1,Male
6CM,11.6,5.7,1,1,1,1,Male
8CM,13.8,6.9,1,1,0,1,Male
12CM,15.4,5.3,0,1,1,1,Male
14CM,13.5,6.4,0,0,0,0,Female
22CM,12.4,5.9,0,0,0,0,Female
5CM,13.9,6.2,1,1,1,1,Male
38CM,14.3,5.3,0,0,1,0,Female
20CM,12.6,5.3,0,0,0,0,Female
9CM,12.4,6.1,0,0,0,1,Female
4CM,14.5,6.8,1,1,1,1,Male
24CM,11.6,5.1,0,0,0,0,Female
27CM,11.4,6.3,0,1,0,0,Female
1CM,11.7,6.2,0,0,1,1,Male
45CM,13.7,6.3,0,0,0,0,Female
0CM,12.6,6.1,1,0,1,1,Male
8CM,13.4,6.1,1,1,1,1,Male
38CM,12.6,5.2,1,0,0,0,Female
12CM,13.3,5.4,0,0,0,0,Female
48CM,14.3,5.5,0,0,0,0,Female
0CM,11.9,6.5,1,1,1,1,Male
10CM,14,5.6,0,1,1,1,Male
26CM,13.3,6,0,0,0,0,Female
4CM,13.7,6.9,1,1,1,1,Male
24CM,13.1,5.9,0,0,1,1,Female
0CM,13.4,6,1,1,1,1,Male
36CM,13.2,6.1,0,0,0,0,Female
6CM,14.3,6.6,1,1,1,0,Male
7CM,13,5.9,1,1,1,1,Male
0CM,15.1,5.1,1,1,1,0,Male
27CM,13.1,5.1,0,0,0,0,Female
20CM,12.7,6.3,0,0,0,0,Female
7CM,12.1,7,1,1,1,1,Male
15CM,11.9,5.2,0,0,0,0,Female
8CM,12.5,5.7,1,1,0,1,Male
25CM,11.6,6,0,0,0,0,Female
12CM,13.8,7.1,1,1,1,1,Male
35CM,11.5,5.5,,,,,
17CM,12.9,5.7,0,0,0,0,Female
5CM,14.7,5.9,1,0,1,1,Male
40CM,13.3,6.1,0,0,0,0,Female
6CM,12.5,5.1,1,1,1,1,Male
8CM,14.5,6.3,1,1,1,1,Male
31CM,14,5.3,0,0,0,0,Female
2CM,13.2,6.9,1,0,1,1,Male
43CM,11.4,5.5,0,0,0,0,Female
14CM,11.5,6.1,0,0,0,1,Female
28CM,13.4,5.7,0,0,0,0,Female
28CM,12.4,6.6,1,1,1,1,Male
3CM,13.5,6.4,0,1,1,1,Male
8CM,11.5,5.6,1,1,1,1,Male
10CM,12.3,5.7,0,0,0,0,Female
35CM,12.7,6.2,0,0,0,0,Female
49CM,13.9,6.1,1,0,0,0,Female
32CM,12.2,5.9,0,0,0,1,Female
24CM,13.4,6.4,0,0,0,0,Female
7CM,15,5.1,1,1,1,1,Male
42CM,14,5.7,0,1,0,0,Female
12CM,13,5.2,1,1,1,1,Male
47CM,12.7,5.1,0,0,0,1,Female
4CM,11.8,6.8,1,1,0,1,Male
47CM,14,5.4,0,0,0,0,Female
7CM,12,5.7,0,1,0,0,Female
44CM,13.2,5.4,0,0,0,0,Female
36CM,14.3,6.2,0,0,0,0,Female
6CM,12.5,7,0,1,1,1,Male
2CM,13,6.4,1,1,1,1,Male
9CM,13,6.8,0,1,1,1,Male
11CM,11.8,5.9,0,0,0,0,Female
9CM,15.5,6.9,1,0,1,1,Male
6CM,12.8,6.3,0,0,1,0,Female
0CM,13.5,6.9,1,1,1,1,Male
1CM,11.7,5.9,1,1,1,1,Male
4CM,14.6,7,1,1,1,1,Male
9CM,14,6.9,1,1,1,1,Male
7CM,11.6,5.6,0,0,0,0,Female
10CM,15.1,6.5,1,1,1,1,Male
1CM,12.5,6.1,0,1,1,1,Male
6CM,12.6,6.4,1,0,0,0,Female
8CM,12.6,6.1,1,0,1,1,Male
7CM,12.9,6,1,1,1,1,Male
22CM,11.4,5.9,0,0,0,1,Female
46CM,14,5.4,0,0,0,0,Female
12CM,14.8,5.7,0,1,1,1,Male
37CM,11.8,5.9,1,0,0,0,Female
25CM,13.1,5.4,0,0,0,0,Female
2CM,14.1,6.9,1,1,1,0,Male
6CM,15.5,5.7,1,1,1,1,Male
10CM,13.4,6.6,1,1,1,1,Male
11CM,13.2,5.4,0,0,0,0,Female
11CM,13,5.9,0,0,0,0,Female
44CM,12.3,5.9,0,0,0,0,Female
17CM,12.9,6.5,1,0,0,0,Female
3CM,14,6.4,1,1,1,1,Male
28CM,11.5,5.3,1,0,0,0,Female
9CM,15.1,5.7,0,1,0,1,Male
30CM,13.5,5.6,0,0,0,1,Female
7CM,14.4,6.6,1,1,1,1,Male
35CM,12.7,5.7,0,1,0,0,Female
26CM,13.8,5.5,0,0,0,0,Female
6CM,13.3,6.3,0,0,1,1,Male
23CM,13.8,6.5,0,0,0,0,Female
46CM,11.9,5.5,0,0,1,0,Female
8CM,11.9,5.4,1,1,1,1,Male
5CM,11.5,5.7,1,1,1,0,Male
11CM,12.3,5.2,0,1,0,0,Female
9CM,15.2,6.8,1,1,1,0,Male
1CM,12.8,6.1,1,1,0,1,Male
3CM,13.7,6.6,0,1,1,1,Male
20CM,15.3,6.9,1,1,0,1,Male
11CM,11.5,7.1,1,1,1,1,Male
6CM,13.9,5.5,1,0,1,1,Male
44CM,12,5.6,0,0,0,0,Female
36CM,12.4,6.5,0,1,1,1,Female
43CM,12.5,6.5,0,1,0,0,Female
21CM,13.9,5.9,0,1,0,0,Female
11CM,15.3,6.7,0,1,1,1,Male
9CM,13.4,6.1,0,0,0,1,Female
5CM,14.1,5.6,1,1,1,1,Male
3CM,13.7,5.1,1,1,1,1,Male
1CM,14.5,5.1,1,1,1,0,Male
6CM,12.6,7,1,1,1,1,Male
45CM,13.7,6.1,0,0,0,0,Female
5CM,14,6,1,1,1,1,Male
8CM,11.8,7,1,1,1,1,Male
17CM,11.6,5.8,0,0,0,0,Female
3CM,13.1,5.6,0,1,1,1,Male
2CM,13.1,6.1,1,1,1,1,Male
7CM,14.4,6,1,1,1,1,Male
14CM,13.5,5.7,0,0,0,0,Female
19CM,11.4,5.7,0,0,0,0,Female
3CM,14.3,6.6,1,1,1,1,Male
10CM,12.9,5.9,0,0,0,0,Female
27CM,11.8,6.2,0,0,0,0,Female
46CM,11.9,6.3,0,0,0,0,Female
29CM,12.9,6.1,0,0,0,0,Female
27CM,13.2,6,0,0,1,0,Female
8CM,12.4,6.7,1,1,1,1,Male
33CM,11.8,5.3,0,0,0,1,Female
9CM,13.6,5.5,1,1,1,1,Male
11CM,13.1,6.1,1,1,0,1,Male
48CM,12,6.5,0,0,0,0,Female
26CM,14.2,5.8,0,0,0,0,Female
10CM,13.8,6.8,1,1,1,1,Male
1CM,15.2,6.6,1,1,0,1,Male
28CM,11.8,5.9,0,0,0,0,Female
2CM,13.5,6.2,1,1,1,1,Male
27CM,11.7,6.2,1,0,0,1,Male
8CM,12.2,5.9,0,0,1,1,Male
2CM,12,6.9,1,1,1,0,Male
34CM,14,5.7,1,0,0,0,Female
12CM,14.4,6,1,1,0,1,Male
15CM,12.7,6.2,0,0,0,0,Female
6CM,13.2,5.5,1,1,1,1,Male
0CM,13.1,5.2,1,1,1,1,Male
12CM,13.7,6.4,1,1,1,1,Male
1CM,13.4,5.2,1,1,1,1,Male
0CM,11.6,5.9,1,0,1,1,Male
11CM,14.8,5.3,1,1,1,1,Male
26CM,11.6,6.4,0,0,0,0,Female
7CM,14.2,5.6,1,1,0,1,Male
11CM,11.9,6.4,1,1,1,1,Male
3CM,15.4,6.1,0,1,0,1,Male
0CM,15.1,5.5,1,0,1,1,Male
11CM,12.4,5.1,1,1,0,1,Male
0CM,12.9,5.7,0,0,1,1,Male
30CM,13.2,5.6,0,0,0,0,Female
29CM,13.3,5.5,0,0,0,0,Female
20CM,12.8,6.4,0,0,0,0,Female
12CM,13.6,6.5,0,1,1,1,Male
8CM,14.9,7.1,1,1,1,1,Male
35CM,13.5,6.4,0,0,0,0,Female
41CM,12.8,5.2,0,0,1,0,Female
11CM,11.6,7,1,1,1,1,Male
8CM,13.7,5.8,1,1,1,1,Male
1CM,12,5.5,1,1,1,1,Male
34CM,12,6.2,0,0,0,1,Female
40CM,14,5.3,0,1,0,0,Female
5CM,14.7,7,0,1,1,1,Male
47CM,11.5,5.7,0,0,0,0,Female
11CM,11.4,5.9,1,0,0,1,Female
9CM,13.1,6,1,1,0,1,Male
6CM,13.2,6.4,1,1,1,1,Male
10CM,13,6.3,0,0,0,0,Female
2CM,14.8,6.8,1,1,1,0,Male
12CM,11.7,5.6,1,1,1,1,Male
2CM,14.3,7.1,0,1,1,1,Male
37CM,12.6,6.1,0,0,0,0,Female
5CM,12.1,5.3,1,1,1,1,Male
48CM,12.6,5.4,0,0,0,0,Female
11CM,12.9,7.1,0,1,1,1,Male
2CM,11.9,6.7,1,1,1,1,Male
42CM,11.9,5.5,0,0,1,1,Female
3CM,14.2,5.5,1,1,1,1,Male
11CM,14.9,6.6,1,1,0,0,Male
47CM,13.3,6.4,1,1,0,1,Female
36CM,13.3,5.2,0,0,0,0,Female
12CM,15.4,6.3,1,1,1,1,Male
46CM,12.5,5.9,0,0,0,0,Female
1CM,14.2,6.5,1,1,1,1,Male
12CM,11.9,6.3,1,1,1,1,Male
31CM,11.5,5.4,0,0,0,0,Female
24CM,12.2,6.4,0,0,0,1,Female
12CM,14.1,5.5,1,1,1,1,Male
36CM,11.8,5.3,0,1,1,0,Female
46CM,12.4,5.6,1,0,0,0,Female
5CM,15.5,5.5,1,1,0,1,Male
32CM,13.4,6.2,0,0,0,0,Female
21CM,15.2,5.8,1,1,1,1,Male
41CM,14,5.7,0,0,0,0,Female
6CM,11.8,6.5,1,1,1,1,Male
11CM,14.6,7.1,0,1,0,1,Male
4CM,13.4,6.5,1,0,1,1,Male
9CM,13.2,5.1,1,1,1,1,Male
2CM,13,6.7,0,1,1,1,Male
44CM,12.7,5.3,0,0,0,0,Female
47CM,12.9,5.6,0,0,0,1,Female
30CM,14.1,6,0,0,0,0,Female
0CM,15.4,5.5,1,1,1,0,Male
33CM,13.5,6.1,0,0,0,0,Female
7CM,12,6.7,0,1,1,1,Male
36CM,12,5.5,0,0,0,0,Female
15CM,11.4,5.3,0,0,1,0,Female
11CM,12.2,5.3,1,1,1,1,Male
33CM,11.5,6.5,0,0,0,0,Female
9CM,13.6,5.1,1,1,1,1,Male
11CM,14.7,5.9,1,1,1,1,Male
22CM,12.6,5.6,0,0,0,0,Female
20CM,14,6.7,1,1,1,1,Male
6CM,12.1,6.2,1,1,1,1,Male
3CM,15.2,6.7,1,0,1,1,Male
36CM,11.4,5.5,0,0,0,1,Female
41CM,11.8,5.1,0,0,0,0,Female
11CM,12.2,6.5,1,1,1,1,Male
10CM,15.3,5.8,1,1,1,1,Male
50CM,12.1,6.3,0,0,0,0,Female
1CM,15.2,5.4,1,1,1,0,Male
11CM,13.3,6.1,1,1,1,1,Male
5CM,13.1,7,1,1,1,1,Male
27CM,11.4,5.8,0,0,1,1,Female
14CM,14.1,6.3,1,0,0,0,Female
2CM,11.9,5.4,1,1,1,1,Male
1CM,14,6.9,1,1,1,0,Male
4CM,13.8,7,1,0,1,1,Male
3CM,11.8,5.1,1,0,1,1,Male
18CM,14.2,5.9,1,0,1,1,Male
7CM,14.2,5.8,0,0,0,0,Female
23CM,13.4,6.4,0,0,0,0,Female
18CM,12.8,5.4,0,0,1,0,Female
27CM,12.7,5.7,0,1,0,0,Female
5CM,15.2,6.9,1,1,1,1,Male
5CM,12.2,5.6,1,1,1,1,Male
27CM,13.5,5.7,0,0,0,0,Female
12CM,15.1,6.3,1,1,1,1,Male
6CM,15,5.3,1,0,1,1,Male
6CM,12,5.7,1,1,1,1,Male
3CM,12.6,5.3,1,1,1,1,Male
46CM,13.2,6.5,0,0,0,0,Female
28CM,11.6,6,0,0,1,0,Female
0CM,12.2,6.9,1,1,1,1,Male
38CM,13.6,5.1,0,1,0,0,Female
44CM,11.6,5.5,0,0,0,1,Female
10CM,12.4,6.6,0,0,1,1,Male
49CM,11.5,6.5,0,0,0,0,Female
3CM,13,7.1,1,1,1,1,Male
46CM,12.1,6.4,0,0,0,0,Female
7CM,11.9,6.2,0,0,0,0,Female
44CM,12.8,6.2,0,0,0,0,Female
43CM,12.3,6.3,0,0,0,0,Female
31CM,13.9,6.4,0,1,0,0,Female
8CM,14.8,5.8,1,1,1,1,Male
12CM,13.8,6,0,1,1,1,Male
4CM,12,6.3,1,1,1,0,Male
7CM,13.4,5.2,0,1,1,1,Male
36CM,12.3,5.8,0,1,1,0,Female
6CM,13.9,6.6,1,1,0,1,Male
27CM,13.6,5.9,0,0,1,0,Female
32CM,11.7,6.5,0,0,0,0,Female
40CM,13.2,5.4,0,0,1,0,Female
11CM,12.9,6.5,1,1,1,1,Male
6CM,12.4,5.1,1,1,1,1,Male
9CM,13.1,5.9,0,0,0,0,Female
50CM,13.9,6.4,0,0,0,0,Female
42CM,13.3,5.7,0,1,0,1,Female
47CM,11.4,5.5,1,0,0,1,Female
39CM,13.6,6,0,0,0,0,Female
17CM,12.9,6.4,0,0,0,0,Female
36CM,12.2,5.2,0,0,0,0,Female
42CM,11.9,6,0,0,1,0,Female
21CM,13.9,7.1,1,1,1,1,Male
8CM,12.6,5.7,1,1,1,1,Male
9CM,13.6,6.5,1,1,1,1,Male
38CM,12.4,5.6,0,0,0,0,Female
12CM,15.2,6.8,1,1,1,1,Male
35CM,12.8,5.8,0,0,0,0,Female
7CM,15.1,6.2,1,1,1,1,Male
46CM,14.1,6.4,0,0,0,0,Female
21CM,12,6.9,1,1,1,1,Male
18CM,13.3,5.4,0,0,0,0,Female
14CM,13.9,6.1,0,0,0,0,Female
43CM,11.9,6.4,0,0,0,1,Female
25CM,13.6,5.3,0,0,0,0,Female
1CM,13.6,6.5,1,1,1,1,Male
37CM,12.4,5.5,0,0,0,0,Female
30CM,15.2,6.1,1,0,1,1,Male
17CM,11.6,5.2,0,0,0,0,Female
7CM,14.6,6.6,1,1,1,0,Male
2CM,15.2,6.5,1,1,0,1,Male
6CM,15.5,5.2,1,1,1,1,Male
35CM,12.8,6.5,0,0,0,0,Female
14CM,12.8,5.6,0,0,0,1,Female
8CM,15.1,5.1,1,1,1,1,Male
12CM,13.3,5.2,0,0,1,0,Female
34CM,13.9,5.5,0,0,0,0,Female
37CM,14.3,6.4,0,1,1,0,Female
5CM,14.7,5.2,1,1,1,1,Male
5CM,11.6,6.3,0,1,0,1,Female
3CM,15.1,6.7,1,0,1,1,Male
24CM,12.5,5.4,0,0,0,0,Female
4CM,12,6.4,1,1,1,1,Male
5CM,11.6,6.7,1,1,1,1,Male
50CM,13.3,5.7,0,0,0,0,Female
7CM,11.7,5.7,1,1,1,1,Male
10CM,13.5,6.3,1,1,0,0,Female
8CM,15.3,5.8,1,1,1,1,Male
33CM,13.5,6.4,0,0,0,0,Female
11CM,14.7,6.8,0,0,1,0,Male
17CM,13.4,6.4,0,0,0,0,Female
38CM,12.2,6.1,0,0,0,0,Female
7CM,11.7,5.3,1,0,1,0,Female
36CM,11.8,5.4,0,0,0,0,Female
10CM,14.2,6.5,1,1,1,0,Male
1CM,13.5,7,1,0,1,1,Male
0CM,11.7,7,1,1,1,1,Male
18CM,14.1,6.1,0,0,0,1,Female
5CM,14.1,5.7,1,1,1,1,Male
43CM,14.2,6.2,0,0,0,0,Female
5CM,11.4,6.3,0,0,0,0,Female
16CM,13.5,5.5,0,0,0,1,Female
32CM,13.6,5.3,0,0,0,0,Female
24CM,14.1,5.2,0,0,0,0,Female
1CM,15.1,5.8,0,0,1,1,Male
29CM,14,6.1,0,0,0,0,Female
41CM,13.7,5.9,0,0,0,0,Female
36CM,13,6.1,0,0,0,0,Female
7CM,12.5,5.1,0,1,1,1,Male
1CM,14.8,6.8,1,1,1,1,Male
3CM,15.5,5.7,1,1,0,1,Male
5CM,15.3,5.3,1,1,1,0,Male
5CM,15.5,5.8,1,1,1,1,Male
8CM,12.9,5.9,0,0,1,0,Female
35CM,14,6.3,0,0,0,0,Female
34CM,11.5,5.4,0,0,1,0,Female
18CM,14.2,5.9,0,0,0,0,Female
37CM,12.1,5.7,1,0,0,0,Female
24CM,13.2,5.8,1,0,0,0,Female
34CM,12,5.4,0,1,0,0,Female
8CM,12.8,5.9,1,1,1,1,Male
11CM,14.1,6.7,1,1,1,1,Male
1CM,13.8,5.6,1,0,1,1,Male
5CM,15,5.3,1,1,0,1,Male
